date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:29	288/288	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Feb%202019%2018:51:28%20GMT	http://niisku.lamk.fi/robots.txt		(from )
20:51:29	13724/13724	---M--	200	added ('OK')	text/html	etag:%221a1bae-359c-56ac0748e6880%22	http://niisku.lamk.fi/~deckplanner/	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/index.html	(from )
20:51:29	4821/4821	---M--	200	added ('OK')	text/css	etag:%221a1bb2-12d5-532935703c740%22	http://niisku.lamk.fi/~deckplanner/main.css	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/main.css	(from http://niisku.lamk.fi/~deckplanner/)
20:51:31	3567/3567	---M--	200	added ('OK')	text/javascript	etag:%221a1bab-def-526c584530780%22	http://niisku.lamk.fi/~deckplanner/lisatiedostot/cookie.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/lisatiedostot/cookie.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:31	1088/1088	---M--	200	added ('OK')	text/javascript	etag:%221a3a56-440-5315e497a6c40%22	http://niisku.lamk.fi/~deckplanner/cookie.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/cookie.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:40	62251/62251	---M--	200	added ('OK')	text/javascript	etag:%221a1bac-f32b-51fc36863ad80%22	http://niisku.lamk.fi/~deckplanner/lisatiedostot/resize.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/lisatiedostot/resize.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:42	84347/84347	---M--	200	added ('OK')	text/javascript	etag:%221a1bb0-1497b-516c27f5fbb00%22	http://niisku.lamk.fi/~deckplanner/js.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/js.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:45	117150/117150	---M--	200	added ('OK')	text/css	etag:%221a1b91-1c99e-510671d220d00%22	http://niisku.lamk.fi/~deckplanner/css/bootstrap.min.css	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/css/bootstrap.min.css	(from http://niisku.lamk.fi/~deckplanner/)
20:51:46	35212/35212	---M-Z	200	added ('OK')	text/css	etag:W/%2255003d15-898c%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css	(from http://niisku.lamk.fi/~deckplanner/)
20:51:46	83650/83650	---M--	200	added ('OK')	text/javascript	etag:%221a81fa-146c2-56abf745cc135%22	http://niisku.lamk.fi/~deckplanner/main.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/main.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:52	61301/61301	---M--	200	added ('OK')	text/javascript	etag:%221a1b8d-ef75-50cffc5c88580%22	http://niisku.lamk.fi/~deckplanner/js/html2canvas.min.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/js/html2canvas.min.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:58	35452/35452	---M--	200	added ('OK')	text/javascript	etag:%221a1b8b-8a7c-510671d220d00%22	http://niisku.lamk.fi/~deckplanner/js/bootstrap.min.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/js/bootstrap.min.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:58	5078/5078	---M--	200	added ('OK')	text/css	etag:%221a1baa-13d6-531d9c87f3f40%22	http://niisku.lamk.fi/~deckplanner/lisatiedostot/boxes.css	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/lisatiedostot/boxes.css	(from http://niisku.lamk.fi/~deckplanner/)
20:51:58	2602/2602	---M--	200	added ('OK')	text/css	etag:%221a1bad-a2a-5321303f97200%22	http://niisku.lamk.fi/~deckplanner/lisatiedostot/valintaIkkunat.css	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/lisatiedostot/valintaIkkunat.css	(from http://niisku.lamk.fi/~deckplanner/)
20:51:59	273199/273199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-42b2f%22	http://code.jquery.com/jquery-1.10.2.js	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/jquery-1.10.2.js	(from http://niisku.lamk.fi/~deckplanner/)
20:51:59	3959/3959	---M--	200	added ('OK')	image/gif	etag:%221a1b95-f77-524b88c8a2780%22	http://niisku.lamk.fi/~deckplanner/kuvat/kestopuu-logo.gif	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/kestopuu-logo.gif	(from http://niisku.lamk.fi/~deckplanner/)
20:51:59	2683/2683	---M--	200	added ('OK')	image/svg+xml	etag:%221a27d8-a7b-529ab53491c40%22	http://niisku.lamk.fi/~deckplanner/kuvat/logo_lauta2.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/logo_lauta2.svg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:00	1138/1138	---M--	200	added ('OK')	image/svg+xml	etag:%221a27d4-472-529ab53585e80%22	http://niisku.lamk.fi/~deckplanner/kuvat/logo_muoto2.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/logo_muoto2.svg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:00	2457/2457	---M--	200	added ('OK')	image/svg+xml	etag:%221a27d7-999-529ab53862540%22	http://niisku.lamk.fi/~deckplanner/kuvat/logo_tarvike2.svg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/logo_tarvike2.svg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:00	382/382	---M--	200	added ('OK')	image/gif	etag:%221a4804-17e-52d86fde40500%22	http://niisku.lamk.fi/~deckplanner/kuvat/info.gif	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/info.gif	(from http://niisku.lamk.fi/~deckplanner/)
